"locus_tag","gene_name","gene_function","DNA_molecule","COG","description","theme","model","FDR","logFC","zscore"
"SL1344_0187","dksA","Transcription factor that acts by binding directly to the RNA polymerase (RNAP). Required for negative regulation of rRNA expression and positive regulation of several amino acid biosynthesis promoters. Also required for regulation of fis expression","Chromosome","K","Transcription","Information storage and processing","Phox-liver",1.4e-12,-4.85081957368634,-4.13199496243679
"SL1344_0189","ligT","Hydrolyzes RNA 2',3'-cyclic phosphodiester to an RNA 2'- phosphomonoester","Chromosome","J"," Translation, ribosomal structure and biogenesis","Information storage and processing","Phox-liver",0.529395555580168,0.565831437006865,0.481983015815198
"SL1344_0190","hrpB","ATP-dependent helicase C-terminal","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.260452201974645,1.06310672409445,0.905568958350828
"SL1344_0191","mrcB","Cell wall formation. Synthesis of cross-linked peptidoglycan from the lipid intermediates. The enzyme has a penicillin-insensitive transglycosylase N-terminal domain (formation of linear glycan strands) and a penicillin-sensitive transpeptidase C-terminal domain (cross-linking of the peptide subunits)","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.0185170879388102,-1.88506241092208,-1.60572213983415
"SL1344_0192","fhuA","TonB-dependent Receptor Plug Domain","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.129322532941894,1.22139805419483,1.04040369475706
"SL1344_0193","fhuC","ABC transporter","Chromosome","HP","Coenzyme transport and metabolism;Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.964181375528116,0.624960280886321,0.532349779891512
"SL1344_0194","fhuD","Periplasmic binding protein","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.378840131678847,0.322701244993184
"SL1344_0195","fhuB","FecCD transport family","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.359024596273469,0.305822098855248
"SL1344_0196","stfA","Part of the yfcOPQRSUV fimbrial operon. Could contribute to adhesion to various surfaces in specific environmental niches. Increases adhesion to eukaryotic T24 bladder epithelial cells in the absence of fim genes","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.884134218279805,-0.174605531691326,-0.148731398148846
"SL1344_0197","stfC","PapC C-terminal domain","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.38330177821478,0.810732721320913,0.690593304800022
"SL1344_0198","stfD","Pili assembly chaperone PapD, C-terminal domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,0.216275439275304,0.184226399685536
"SL1344_0199","stfE","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.999204941602324,0.277596269833697,0.236460328222929
"SL1344_0201","stfG","Fimbrial protein","Chromosome","NU","Cell motility; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.999204941602324,0.261244165854283,0.222531380703482
"SL1344_0202","SL1344_0202","Part of the yfcOPQRSUV fimbrial operon. Could contribute to adhesion to various surfaces in specific environmental niches. Increases adhesion to eukaryotic T24 bladder epithelial cells in the absence of fim genes","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.69038000748525,-0.404493543844019,-0.344553175007404
"SL1344_0204","clcA","Probably acts as an electrical shunt for an outwardly- directed proton pump that is linked to amino acid decarboxylation, as part of the extreme acid resistance (XAR) response","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.807058393152007,0.717723932695587,0.611367136886681
"SL1344_0206","yadS","UPF0126 domain","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.891260597046679,-0.151249248682545,-0.128836194406978
"SL1344_0207","btuF","Part of the ABC transporter complex BtuCDF involved in vitamin B12 import. Binds vitamin B12 and delivers it to the periplasmic surface of BtuC","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.838287676872943,0.208069717880776,0.177236653117909
"SL1344_0209","dgt","dGTPase preferentially hydrolyzes dGTP over the other canonical NTPs","Chromosome","F","Nucleotide transport and metabolism","Metabolism","Phox-liver",0.344629178277788,0.952706938528878,0.811528899576929
"SL1344_0210","htrA","Trypsin","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",2.8e-10,-4.15904658545551,-3.54273319767744
"SL1344_0211","cdaR","Putative sugar diacid recognition","Chromosome","KT","Transcription;Signal transduction mechanisms","Information storage and processing;Cellular processes and signaling","Phox-liver",0.999204941602324,0.0823348080975873,0.0701339242007497
"SL1344_0213","SL1344_0213","Sugar (and other) transporter","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.543799334362653,0.463215767156516
"SL1344_0231","rnhB","Endonuclease that specifically degrades the RNA of RNA- DNA hybrids","Chromosome","L","Replication, recombination and repair ","Information storage and processing","Phox-liver",0.999204941602324,-0.523367847425374,-0.445811945015225
"SL1344_0234","SL1344_0234","Repeats in polycystic kidney disease 1 (PKD1) and other proteins","Chromosome","MU","Cell wall/membrane/envelop biogenesis; Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.832554695606845,0.215706591455109,0.183741847272952
"SL1344_0235","ldcC","Orn/Lys/Arg decarboxylase, N-terminal domain","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.154098803805991,0.131263484731098
"SL1344_0236","yaeR","Glyoxalase-like domain","Chromosome","E","Amino acid transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.154885120294228,0.131933279952075
"SL1344_0247","yaeE","Binding-protein-dependent transport system inner membrane component","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.343584599443193,0.862898941960803,0.735029210448351
"SL1344_0248","abc","Part of the ABC transporter complex MetNIQ involved in methionine import. Responsible for energy coupling to the transport system","Chromosome","P","Inorganic ion transport and metabolism","Metabolism","Phox-liver",0.999204941602324,0.0726175513040907,0.0618566309496796
"SL1344_0250","dkgB","Catalyzes the reduction of 2,5-diketo-D-gluconic acid","Chromosome","H","Coenzyme transport and metabolism","Metabolism","Phox-liver",0.999204941602324,-0.355070408267131,-0.302453867018437
"SL1344_0251","yafC","LysR substrate binding domain","Chromosome","K","Transcription","Information storage and processing","Phox-liver",0.999204941602324,0.315185638846145,0.268479470770129
"SL1344_0252","SL1344_0252","Uncharacterised MFS-type transporter YbfB","Chromosome","U"," Intracellular trafficking, secretion, and vesicular transport","Cellular processes and signaling","Phox-liver",0.999204941602324,0.183899403841817,0.156648046526303
"SL1344_0253","yafD","Endonuclease/Exonuclease/phosphatase family","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,-0.176587232225791,-0.150419437974092
"SL1344_0254","yafE","Putative S-adenosyl-L-methionine-dependent methyltransferase","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.999204941602324,0.364781644812134,0.310726032138875
"SL1344_0255","dniR","Transglycosylase SLT domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.0123716374383371,-0.0105383312645981
"SL1344_0256","gloB","Thiolesterase that catalyzes the hydrolysis of S-D- lactoyl-glutathione to form glutathione and D-lactic acid","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.986561356656798,-0.0220588136278025,-0.018790001442611
"SL1344_0257","yafS","Methyltransferase domain","Chromosome","Q","Secondary metabolites biosynthesis, transport, and catabolism","Metabolism","Phox-liver",0.470362677595749,0.730612598631653,0.62234588015086
"SL1344_0260","sciA","Type VI secretion-associated protein, impa family","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.75446482296339,0.771006285599029,0.65675377937862
"SL1344_0261","sciB","Pfam:T6SS_VasB","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.711344535509739,0.367554475953319,0.313087967917566
"SL1344_0262","sciC","Pfam:T6SS_VipB","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.676872435178982,0.414368154878133,0.352964504769145
"SL1344_0263","sciD","Gene 25-like lysozyme","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.569872313647852,0.603966302673927,0.514466819930336
"SL1344_0264","sciE","ImpE protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.0387129233583707,0.0329762016228585
"SL1344_0265","sciF","-","Chromosome","-","no category","no theme","Phox-liver",0.358883152844779,0.903696979369811,0.769781540954682
"SL1344_0266","sciG","AAA domain (Cdc48 subfamily)","Chromosome","O","Post-translational modification, protein turnover, and chaperones","Cellular processes and signaling","Phox-liver",0.999204941602324,0.342581586415881,0.291815716455991
"SL1344_0268","sciI","Type VI secretion protein, EvpB/VC_A0108, tail sheath","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.863246234958128,-0.201457246633384,-0.171604058982334
"SL1344_0270","sciJ","conserved hypothetical protein (SPI-6 associated)","Chromosome",NA,"no category","no theme","Phox-liver",0.733787925234775,0.321521062086697,0.273876071595456
"SL1344_0271","sciK","Type VI secretion system effector, Hcp","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.596233427696396,-0.552617275262957,-0.470727010736214
"SL1344_0272","SL1344_0272","Type VI secretion system (T6SS), amidase effector protein 4","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.494160441114568,0.66392549322287,0.565540884742799
"SL1344_0273","SL1344_0273","Type VI secretion system (T6SS), amidase immunity protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.591965784443415,0.556771602726629,0.474265724120921
"SL1344_0275","sciN","Type VI secretion lipoprotein, VasD, EvfM, TssJ, VC_A0113","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.798621564802216,-0.267307314247382,-0.227696054061505
"SL1344_0276","sciO","Bacterial Type VI secretion, VC_A0110, EvfL, ImpJ, VasE","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,-0.222006194514308,-0.189107935974161
"SL1344_0278","sciQ","-","Chromosome","-","no category","no theme","Phox-liver",0.699358861496327,0.40750721438632,0.347120261106995
"SL1344_0279","sciR","-","Chromosome","-","no category","no theme","Phox-liver",0.827577652980746,0.278099954933249,0.236889374132056
"SL1344_0280","sciS","type VI secretion protein","Chromosome","N","Cell motility","Cellular processes and signaling","Phox-liver",0.885294818516704,-0.17081405402138,-0.145501765218899
"SL1344_0283","sciV","Protein of unknown function (DUF2778)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.737061476280162,0.370114506103971,0.315268636879892
"SL1344_0284","vgrS","Phage late control gene D protein (GPD)","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.999204941602324,0.446694970316915,0.380500931658584
"SL1344_0285","sciW","DcrB","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.00155877004811414,-2.41722917326665,-2.05902912183616
"SL1344_0286","SL1344_0286","RHS protein","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,-0.0812366487074133,-0.0691984968983684
"SL1344_0292","SL1344_0292","Toxin SymE, type I toxin-antitoxin system","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.403680810219971,0.8980754088982,0.764993009755607
"SL1344_0295","safA","Saf-pilin pilus formation protein","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.321884673582198,0.873821149490807,0.74433289734231
"SL1344_0296","safB","Pili assembly chaperone PapD, C-terminal domain","Chromosome","M","Cell wall/membrane/envelop biogenesis","Cellular processes and signaling","Phox-liver",0.999204941602324,0.148378394174569,0.126390760973585
"SL1344_0298","safD","Enterobacteria AfaD invasin protein","Chromosome","S","Function Unknown","Poorly characterised","Phox-liver",0.619015412626784,-0.488358246093099,-0.415990284130001
