,,,Replicate_1,,,Replicate_2,,,Replicate_3,
STM14_0377,-,conserved hypothetical protein,3,76,,2,69,,4,83
STM14_0378,proB,gamma-glutamyl kinase,18,941,,17,964,,17,1039
STM14_0379,proA,gamma-glutamyl phosphate reductase,17,537,,17,504,,18,582
STM14_0381,-,IS3 transposase,8,166,,6,199,,8,171
STM14_0383,-,putative cytoplasmic protein,4,222,,4,184,,5,230
STM14_0384,-,putative permease,27,1660,,28,1803,,27,1826
STM14_0385,-,isopropylmalate isomerase large subunit,20,1241,,20,1138,,20,1172
STM14_0386,-,putative 3-isopropylmalate isomerase,7,457,,7,533,,7,522
STM14_0387,-,putative fumarylacetoacetate hydrolase,24,2292,,25,2132,,25,2047
STM14_0388,-,putative hydrolase/acyltransferase,19,1321,,17,1220,,19,1460
STM14_0389,-,putative transcriptional regulator,14,866,,14,1099,,15,1098
STM14_0390,-,putative cytoplasmic protein,8,1004,,8,1006,,9,870
STM14_0391,-,putative outer membrane protein,2,184,,3,204,,3,183
STM14_0392,stbE,putative fimbrial chaparone,10,349,,9,352,,9,332
STM14_0393,stbD,putative fimbrial usher,26,2265,,28,2332,,29,2135
STM14_0394,stbC,putative fimbrial usher,52,3441,,51,3556,,55,3344
STM14_0395,stbB,putative fimbrial chaperone,13,489,,12,542,,12,470
STM14_0396,stbA,putative fimbrial major subunit,3,144,,3,110,,3,143
STM14_0397,-,hypothetical protein,1,23,,1,53,,1,42
STM14_0398,-,putative inner membrane protein,6,239,,6,181,,6,227
STM14_0399,-,putative periplasmic protein,8,160,,6,176,,7,157
STM14_0400,-,hypothetical protein,25,1394,,24,1441,,25,1434
STM14_0401,-,putative response regulator,5,137,,4,118,,4,134
STM14_0402,-,putative inner membrane protein,4,101,,4,144,,4,148
STM14_0403,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0404,-,putative outer membrane protein,6,240,,5,235,,5,293
STM14_0405,-,putative response regulator,5,240,,5,227,,5,251
STM14_0406,-,putative inner membrane protein,8,212,,7,310,,7,217
STM14_0407,-,putative outer membrane lipoprotein,5,329,,5,314,,6,386
STM14_0408,-,outer membrane efflux-like protein,18,814,,18,784,,18,851
STM14_0409,-,putative cation efflux system protein,43,2130,,41,2334,,43,2174
STM14_0410,-,putative cation efflux pump,8,683,,7,688,,7,668
STM14_0411,-,hypothetical protein,1,28,,1,26,,2,62
STM14_0412,-,putative cation transport ATPase,28,2936,,28,3240,,29,2966
STM14_0413,-,putative transcriptional regulator,5,187,,6,123,,5,157
STM14_0414,-,putative copper chaperone,0,0,,0,0,,0,0
STM14_0415,-,putative metal-binding transport protein,0,0,,2,24,,2,9
STM14_0416,-,putative inner membrane protein,22,1219,,20,1305,,20,1166
STM14_0417,mod,DNA methylase,48,3379,,48,3311,,50,3239
STM14_0418,res,DNA restriction enzyme,52,3193,,51,3155,,56,3165
STM14_0419,-,hypothetical protein,1,54,,1,62,,1,80
STM14_0420,-,hypothetical protein,3,95,,2,99,,3,113
STM14_0421,-,putative cytoplasmic protein,2,112,,2,125,,2,77
STM14_0422,-,cytochrome BD2 subunit I,21,1724,,21,1559,,22,1551
STM14_0423,-,cytochrome BD2 subunit II,16,1400,,14,1309,,15,1272
STM14_0424,-,putative cytoplasmic protein,1,49,,1,43,,1,40
STM14_0425,-,putative transcriptional regulator,16,1235,,13,1161,,15,1125
STM14_0426,foxA,ferrioxamine receptor,51,3824,,53,4041,,54,4071
STM14_0427,yahN,putative transport protein,8,670,,8,599,,8,550
STM14_0428,yahO,hypothetical protein,3,116,,2,91,,3,132
STM14_0429,prpR,prp operon regulator,20,816,,22,966,,24,883
STM14_0430,-,hypothetical protein,3,67,,1,105,,2,78
STM14_0431,prpB,2-methylisocitrate lyase,16,677,,13,684,,15,673
STM14_0432,prpC,methylcitrate synthase,20,1142,,18,1074,,17,1153
STM14_0433,prpD,2-methylcitrate dehydratase,19,598,,17,649,,19,696
STM14_0434,prpE,propionyl-CoA synthetase,27,1785,,26,1723,,27,1777
STM14_0435,hemB,delta-aminolevulinic acid dehydratase,1,23,,1,8,,1,10
STM14_0436,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0437,-,hypothetical protein,0,0,,0,0,,1,3
STM14_0438,yaiU,flagellar protein,84,6060,,79,5950,,84,5978
STM14_0439,yaiV,putative DNA-binding transcriptional regulator,17,753,,18,739,,19,778
STM14_0440,ampH,beta-lactamase/D-alanine carboxypeptidase,25,1965,,27,1883,,28,1864
STM14_0441,-,hypothetical protein,1,111,,1,90,,2,114
STM14_0442,-,conserved hypothetical protein,4,430,,4,386,,4,366
STM14_0443,sbmA,transport protein,25,1826,,22,1690,,23,1941
STM14_0444,yaiW,putative outer membrane lipoprotein,18,1144,,19,1240,,19,1110
STM14_0445,yaiY,putative inner membrane protein,8,314,,8,329,,8,396
STM14_0446,-,hypothetical protein,1,22,,1,18,,1,46
STM14_0447,yaiZ,putative inner membrane protein,8,507,,8,575,,8,535
STM14_0448,ddl_1,D-alanyl-alanine synthetase A,20,1646,,20,1750,,22,1592
STM14_0449,-,putative inner membrane protein,11,449,,12,414,,10,467
STM14_0450,-,putative permease,19,961,,20,1129,,22,1088
STM14_0451,-,hypothetical protein,2,132,,2,123,,2,73
STM14_0452,yaiB,hypothetical protein,6,273,,5,152,,6,208
STM14_0453,-,hypothetical protein,3,100,,2,83,,3,135
STM14_0454,psiF,hypothetical protein,1,118,,1,116,,1,135
STM14_0455,yaiC,diguanylate cyclase AdrA,16,911,,16,842,,16,861
STM14_0456,proC,pyrroline-5-carboxylate reductase,11,249,,11,271,,11,239
STM14_0457,-,hypothetical protein,5,304,,5,369,,5,298
STM14_0458,yaiI,hypothetical protein,4,267,,4,302,,4,293
STM14_0459,aroL,shikimate kinase II,8,783,,7,686,,8,675
STM14_0460,yaiA,hypothetical protein,1,189,,1,193,,1,193
STM14_0461,aroM,hypothetical protein,9,429,,10,457,,11,405
STM14_0462,yaiE,hypothetical protein,10,544,,10,463,,10,532
STM14_0463,rdgC,recombination associated protein,4,231,,4,197,,5,232
STM14_0464,-,hypothetical protein,1,216,,3,269,,3,243
STM14_0465,yajF,fructokinase,7,379,,6,347,,8,366
STM14_0466,araJ,protein AraJ,22,1521,,22,1379,,22,1550
STM14_0467,sbcC,exonuclease subunit SbcC,24,1465,,25,1388,,26,1329
STM14_0468,sbcD,exonuclease subunit SbcD,16,875,,16,999,,17,914
STM14_0469,-,hypothetical protein,5,277,,5,192,,5,260
STM14_0470,phoB,transcriptional regulator PhoB,11,525,,13,573,,13,593
STM14_0471,phoR,phosphate regulon sensor protein,21,1528,,21,1476,,22,1643
STM14_0472,-,hypothetical protein,2,7,,2,27,,2,12
STM14_0473,brnQ,branched-chain amino acid transporter,14,725,,16,650,,17,739
STM14_0474,proY,putative proline-specific permease,19,960,,20,923,,20,976
STM14_0475,malZ,maltodextrin glucosidase,33,1997,,32,2019,,33,2171
STM14_0476,-,putative thiol-alkyl hydroperoxide reductase,7,551,,7,531,,7,542
STM14_0477,yajB,acyl carrier protein phosphodiesterase,6,384,,6,378,,6,397
STM14_0478,queA,S-adenosylmethionine:tRNA ribosyltransferase-isomerase,15,789,,16,763,,17,736
STM14_0479,-,DNA metabolism protein,2,61,,3,81,,3,78
STM14_0480,tgt,queuine tRNA-ribosyltransferase,20,718,,17,746,,18,727
STM14_0481,yajC,preprotein translocase subunit YajC,1,3,,0,0,,1,1
STM14_0482,secD,preprotein translocase subunit SecD,6,46,,5,41,,7,34
STM14_0483,secF,preprotein translocase subunit SecF,2,201,,3,227,,3,230
STM14_0484,-,hypothetical protein,6,336,,7,307,,7,305
STM14_0485,-,putative regulatory protein,8,222,,9,265,,9,266
STM14_0486,yajD,hypothetical protein,6,220,,6,199,,6,190
STM14_0487,-,hypothetical protein,8,252,,7,295,,7,292
STM14_0489,tsx,nucleoside channel,21,2052,,21,2169,,22,2017
STM14_0490,yajI,hypothetical protein,7,309,,7,371,,6,284
STM14_0491,-,hypothetical protein,3,148,,3,182,,3,165
STM14_0492,ybaD,transcriptional regulator NrdR,7,309,,6,196,,7,317
STM14_0493,ribD,bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase,0,0,,0,0,,0,0
STM14_0494,ribH,riboflavin synthase subunit beta,0,0,,0,0,,0,0
STM14_0495,nusB,transcription antitermination protein NusB,0,0,,0,0,,0,0
STM14_0496,thiL,thiamine monophosphate kinase,0,0,,4,25,,4,12
STM14_0497,pgpA,phosphatidylglycerophosphatase A,3,126,,3,100,,3,62
STM14_0498,-,hypothetical protein,7,299,,7,355,,7,376
STM14_0499,yajO,putative oxidoreductase,12,830,,12,885,,12,779
STM14_0500,dxs,1-deoxy-D-xylulose-5-phosphate synthase,0,0,,0,0,,0,0
STM14_0501,ispA,geranyltranstransferase,2,14,,2,11,,2,12
STM14_0502,xseB,exodeoxyribonuclease VII small subunit,0,0,,0,0,,0,0
STM14_0503,thiI,thiamine biosynthesis protein ThiI,23,822,,22,842,,23,815
STM14_0504,phnV,2-aminoethylphosphonate transporter,10,484,,9,531,,10,483
STM14_0505,phnU,2-aminoethylphosphonate transporter,11,438,,10,435,,9,383
STM14_0506,phnT,2-aminoethylphosphonate transporter,16,663,,16,722,,17,681
STM14_0507,phnS,2-aminoethylphosphonate transporter,16,1041,,16,870,,17,1009
STM14_0508,phnR,2-aminoethylphosphonate transport protein,12,688,,11,669,,12,671
STM14_0509,-,hypothetical protein,3,152,,3,182,,3,189
STM14_0510,phnW,2-aminoethylphosphonate--pyruvate transaminase,15,1079,,15,1198,,15,1093
STM14_0511,phnX,phosphonoacetaldehyde hydrolase,9,304,,8,366,,10,281
STM14_0512,thiJ,hypothetical protein,7,513,,7,497,,7,453
STM14_0513,apbA,2-dehydropantoate 2-reductase,18,798,,16,754,,19,783
STM14_0514,yajQ,nucleotide-binding protein,4,115,,4,121,,4,147
STM14_0515,yajR,putative transport protein,25,1484,,25,1510,,25,1517
STM14_0517,-,putative periplasmic protein,19,609,,23,795,,21,613
STM14_0518,-,TPR repeat-containing protein,18,638,,20,712,,20,700
STM14_0519,cyoE,protoheme IX farnesyltransferase,19,793,,17,718,,19,772
STM14_0520,cyoD,cytochrome o ubiquinol oxidase subunit IV,5,135,,5,97,,5,118
STM14_0521,cyoC,cytochrome o ubiquinol oxidase subunit III,9,449,,11,395,,11,423
STM14_0522,cyoB,cytochrome o ubiquinol oxidase subunit I,37,1985,,34,1834,,36,1743
STM14_0523,cyoA,cytochrome o ubiquinol oxidase subunit II,10,530,,11,626,,12,467
STM14_0524,ampG,muropeptide transporter,21,1373,,19,1533,,21,1400
STM14_0525,yajG,hypothetical protein,14,561,,14,654,,14,673
STM14_0526,-,hypothetical protein,8,175,,7,231,,7,194
STM14_0527,bolA,transcriptional regulator BolA,10,994,,10,1050,,10,1025
STM14_0528,-,hypothetical protein,0,0,,0,0,,1,1
STM14_0529,tig,trigger factor,15,808,,15,951,,14,909
STM14_0530,clpP,ATP-dependent Clp protease proteolytic subunit,0,0,,3,19,,3,14
STM14_0531,-,hypothetical protein,3,112,,3,129,,4,112
STM14_0532,clpX,ATP-dependent protease ATP-binding subunit,2,4,,3,38,,4,22
STM14_0533,lon,DNA-binding ATP-dependent protease La,17,310,,16,327,,16,273
STM14_0534,hupB,transcriptional regulator HU subunit beta,3,98,,4,81,,4,72
STM14_0535,cypD,peptidyl-prolyl cis-trans isomerase (rotamase D),24,1193,,24,1093,,26,1176
STM14_0536,-,hypothetical protein,3,45,,2,28,,3,25
STM14_0537,ybaV,putative DNA uptake protein,11,635,,11,645,,11,571
STM14_0538,ybaW,putative esterase,7,465,,7,401,,9,387
STM14_0539,ybaX,queuosine biosynthesis protein QueC,10,403,,10,374,,10,388
STM14_0540,ybaE,putative ABC transporter periplasmic binding protein,20,1700,,20,1696,,24,1757
STM14_0541,cof,putative hydrolase,8,559,,9,575,,9,587
STM14_0542,-,putative cysteine synthase/cystathionine beta-synthase,15,1064,,13,985,,15,981
STM14_0543,ybaO,putative transcriptional regulator,8,253,,9,206,,8,242
STM14_0544,mdlA,putative multidrug transporter membrane\ATP-binding component,32,1227,,30,1271,,32,1276
STM14_0545,mdlB,putative multidrug transporter membrane\ATP-binding component,32,1550,,29,1440,,34,1504
STM14_0546,glnK,nitrogen regulatory protein P-II 2,2,121,,2,160,,3,167
STM14_0547,amtB,ammonium transporter,25,1216,,24,1261,,24,1273
STM14_0548,tesB,acyl-CoA thioesterase II,10,794,,10,752,,10,683
STM14_0549,ybaY,hypothetical protein,12,581,,10,628,,12,653
STM14_0550,ybaZ,putative methyltransferase,11,332,,8,336,,9,323
STM14_0552,ylaB,hypothetical protein,26,1527,,25,1688,,27,1534
STM14_0553,rpmE2,50S ribosomal protein L31 type B,4,260,,4,348,,5,243
STM14_0554,rpmJ_1,50S ribosomal protein L36,3,210,,3,156,,3,165
STM14_0555,ylaC,putative inner membrane protein,10,410,,9,439,,12,475
STM14_0556,maa,maltose O-acetyltransferase,17,1379,,16,1530,,16,1235
STM14_0557,hha,hemolysin expression-modulating protein,1,5,,0,0,,0,0
STM14_0558,ybaJ,hypothetical protein,13,720,,11,722,,13,732
STM14_0559,acrB,acridine efflux pump,42,1812,,44,1550,,43,1813
STM14_0560,acrA,acridine efflux pump,17,489,,17,529,,18,456
STM14_0561,acrR,DNA-binding transcriptional repressor AcrR,11,661,,12,682,,12,631
STM14_0562,-,hypothetical protein,2,35,,1,31,,2,41
STM14_0563,aefA,potassium efflux protein KefA,53,3492,,53,3728,,55,3722
STM14_0564,-,putative transposase,17,1128,,16,1122,,17,1192
STM14_0565,ybaM,hypothetical protein,5,377,,5,404,,5,409
STM14_0566,priC,primosomal replication protein N'',3,188,,3,222,,3,230
STM14_0567,ybaN,hypothetical protein,9,453,,9,544,,9,515
STM14_0568,apt,adenine phosphoribosyltransferase,4,106,,5,86,,6,107
STM14_0569,dnaX,DNA polymerase III subunits gamma and tau,0,0,,0,0,,0,0
STM14_0570,ybaB,hypothetical protein,2,199,,2,209,,2,281
STM14_0571,recR,recombination protein RecR,2,65,,2,71,,2,44
STM14_0572,htpG,heat shock protein 90,25,1419,,24,1498,,24,1619
STM14_0573,-,hypothetical protein,1,74,,1,40,,1,64
STM14_0574,adk,adenylate kinase,0,0,,0,0,,0,0
STM14_0575,-,hypothetical protein,3,129,,4,195,,3,166
STM14_0576,hemH,ferrochelatase,0,0,,0,0,,0,0
STM14_0577,aes,acetyl esterase,18,1475,,18,1417,,19,1399
STM14_0578,gsk,inosine-guanosine kinase,22,1541,,22,1446,,22,1526
STM14_0579,ybaL,putative cation:proton antiport protein,18,1081,,18,1102,,19,1003
STM14_0580,-,hypothetical protein,1,20,,1,37,,1,27
STM14_0581,fsr,putative transport protein,20,1016,,22,1032,,22,939
STM14_0582,ushA,bifunctional UDP-sugar hydrolase/5'-nucleotidase periplasmic precursor,23,1047,,21,1095,,24,1146
STM14_0583,ybaK,hypothetical protein,6,690,,6,692,,6,696
STM14_0584,ybaP,putative cytoplasmic protein,12,1303,,11,1370,,13,1324
STM14_0585,-,putative periplasmic protein,10,493,,10,473,,9,430
STM14_0586,copA,copper exporting ATPase,24,1350,,23,1440,,25,1308
STM14_0587,cueR,DNA-binding transcriptional regulator CueR,4,217,,4,240,,4,172
STM14_0588,ybbJ,hypothetical protein,5,521,,5,472,,5,572
STM14_0589,ybbK,putative inner membrane protein,9,612,,9,597,,9,692
STM14_0590,ybbL,putative ABC transporter ATP-binding protein YbbL,14,1237,,14,1264,,15,1300
STM14_0591,ybbM,putative transport protein,19,1323,,18,1176,,20,1227
STM14_0592,ybbN,putative thioredoxin protein,11,1662,,11,1932,,10,1156
STM14_0593,ybbO,short chain dehydrogenase,11,421,,11,407,,12,495
STM14_0594,tesA,multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1,9,685,,9,674,,9,753
STM14_0595,ybbA,putative ABC transporter ATP-binding protein YbbA,5,329,,5,402,,5,206
STM14_0596,ybbP,putative inner membrane protein,22,1355,,24,1439,,22,1471
STM14_0597,-,hypothetical protein,1,16,,1,20,,1,12
STM14_0598,-,putative outer membrane protein,18,908,,20,1008,,19,897
STM14_0599,-,hypothetical protein,0,0,,0,0,,0,0
STM14_0600,sfbA,putative ABC-type transport system ATPase component,14,1051,,15,930,,17,992
STM14_0601,sfbB,putative ABC-type transport system ATPase component,8,266,,8,277,,8,280
STM14_0602,sfbC,putative ABC transporter permease component,14,827,,14,836,,15,791
STM14_0603,ybbB,tRNA 2-selenouridine synthase,13,674,,13,722,,13,661
STM14_0604,ybbS,DNA-binding transcriptional activator AllS,14,816,,13,691,,14,883
STM14_0605,allA,ureidoglycolate hydrolase,11,732,,11,703,,11,765
STM14_0606,allR,DNA-binding transcriptional repressor AllR,19,970,,19,718,,20,764
STM14_0607,gcl,glyoxylate carboligase,28,1698,,27,1641,,28,1571
STM14_0608,gip,hydroxypyruvate isomerase,16,434,,14,431,,14,438
STM14_0609,glxR,tartronic semialdehyde reductase,9,436,,9,430,,10,456
STM14_0610,-,putative permease,24,941,,19,911,,23,867
STM14_0611,ybbV,putative cytoplasmic protein,2,25,,2,35,,2,21
STM14_0612,allP,allantoin permease,14,862,,15,889,,15,897
STM14_0613,allB,allantoinase,20,1086,,19,1197,,22,1229
STM14_0614,ybbY,putative purine permease YbbY,25,1603,,26,1673,,25,1438
STM14_0615,glxK,glycerate kinase II,20,1635,,20,1527,,20,1684
STM14_0616,ylbA,hypothetical protein,24,2676,,24,2567,,24,2691
STM14_0617,allC,allantoate amidohydrolase,24,1413,,23,1406,,25,1382
STM14_0618,allD,ureidoglycolate dehydrogenase,22,1106,,19,1062,,21,1181
STM14_0619,fdrA,membrane protein FdrA,23,1667,,23,1458,,25,1843
STM14_0620,ylbE,putative cytoplasmic protein,20,1889,,22,2180,,21,2085
STM14_0621,ylbF,putative cytoplasmic protein,18,1552,,17,1634,,20,1588
STM14_0622,arcC,carbamate kinase,16,1687,,14,1678,,16,1731
STM14_0623,purK,phosphoribosylaminoimidazole carboxylase ATPase subunit,15,741,,15,794,,16,872
STM14_0624,purE,phosphoribosylaminoimidazole carboxylase catalytic subunit,6,440,,6,379,,6,422
STM14_0625,lpxH,"UDP-2,3-diacylglucosamine hydrolase",8,470,,9,519,,10,499
STM14_0626,ppiB,peptidyl-prolyl cis-trans isomerase B (rotamase B),11,260,,11,322,,11,342
STM14_0627,cysS,cysteinyl-tRNA synthetase,21,1903,,23,1938,,19,2020
STM14_0628,-,putative outer membrane protein,19,2142,,21,1988,,19,2227
STM14_0629,-,putative inner membrane protein,8,668,,7,576,,9,773
STM14_0630,ybcI,putative membrane-bound metal-dependent hydrolase,17,996,,16,853,,18,913
STM14_0631,ybcJ,hypothetical protein,1,40,,2,19,,1,32
STM14_0632,folD,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",16,1577,,15,1599,,16,1512
STM14_0633,-,hypothetical protein,1,5,,1,8,,0,0
STM14_0634,-,hypothetical protein,2,24,,2,27,,2,16
STM14_0635,fimA,fimbrin,9,735,,10,684,,11,794
STM14_0636,fimI,fimbrial protein,8,184,,8,217,,9,243
STM14_0637,fimC,periplasmic chaperone,13,763,,13,840,,12,775
STM14_0638,fimD,outer membrane usher protein precursor,68,4569,,67,4434,,71,4605
STM14_0639,fimH,minor fimbrial subunit,33,1758,,31,1773,,32,1905
STM14_0640,fimF,putative fimbrial protein,8,440,,6,471,,8,568
STM14_0641,fimZ,transcriptional regulator FimZ,14,558,,12,566,,15,467
STM14_0642,fimY,putative regulatory protein,22,1377,,21,1196,,22,1315
STM14_0643,-,hypothetical protein,8,770,,7,877,,9,832
STM14_0644,fimW,putative fimbrial protein,15,1458,,13,1652,,14,1325
STM14_0645,-,conserved hypothetical protein,4,209,,4,206,,4,239
STM14_0647,-,integrase,5,411,,5,303,,5,372
STM14_0649,-,hypothetical protein,7,696,,8,767,,7,736
STM14_0650,-,putative inner membrane protein,23,727,,21,807,,23,731
STM14_0651,yfdH,putative glycosyltransferase,19,1019,,22,1012,,19,1070
STM14_0652,gtrA,putative glycosyl translocase,11,907,,10,914,,11,956
STM14_0655,-,sensor kinase,11,882,,12,886,,11,874
STM14_0657,-,putative transcriptional regulator,20,1227,,20,1370,,20,1212
STM14_0658,-,pyridine nucleotide-disulfide oxidoreductase,34,1951,,34,1958,,34,1878
STM14_0659,-,hypothetical protein,12,688,,12,704,,13,687
STM14_0660,-,putative periplasmic protein,9,694,,9,743,,9,741
STM14_0661,-,putative inner membrane protein,16,813,,14,895,,17,826
STM14_0662,-,putative DNA repair ATPase,26,1935,,25,2004,,25,1914
STM14_0663,pheP,phenylalanine transporter,38,2947,,36,2997,,39,3013
STM14_0664,ybdG,hypothetical protein,29,1733,,26,1835,,30,1846
STM14_0665,-,conserved hypothetical protein,4,202,,5,181,,5,253
STM14_0666,apeE,outer membrane esterase,66,6479,,64,6503,,65,6591
STM14_0667,-,putative inner membrane protein,54,2876,,56,2972,,56,2957
STM14_0668,-,putative phosphosugar isomerase,25,3024,,25,3163,,26,3056
STM14_0669,-,putative inner membrane protein,15,722,,16,704,,15,786
STM14_0670,-,putative PTS system mannose-specific enzyme IID,14,1241,,15,1347,,15,1069
STM14_0671,-,putative inner membrane protein,11,1063,,12,1153,,13,1146
STM14_0672,-,putative PTS system mannose-specific enzyme IIAB,8,1173,,7,1122,,7,1158
STM14_0673,-,putative PTS system mannose-specific enzyme IIAB,13,1338,,14,1366,,13,1138
STM14_0674,nfnB,dihydropteridine reductase,11,592,,12,600,,12,633
STM14_0675,ybdF,hypothetical protein,10,277,,9,274,,9,307
STM14_0676,-,putative regulatory protein,15,1183,,15,1351,,15,1146
STM14_0677,-,hypothetical protein,5,480,,5,491,,5,434
STM14_0678,-,putative regulatory protein,9,1189,,9,1246,,9,1188
STM14_0679,ybdJ,putative inner membrane protein,5,128,,5,194,,5,166
STM14_0680,ybdK,carboxylate-amine ligase,32,2639,,31,2865,,32,2929
STM14_0681,entD,phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex,17,1236,,15,1206,,16,1116
STM14_0682,fepA,outer membrane receptor FepA,61,5005,,62,5067,,64,5005
STM14_0683,-,hypothetical protein,5,391,,5,378,,6,510
STM14_0684,fes,enterobactin/ferric enterobactin esterase,14,797,,13,712,,14,741
STM14_0685,ybdZ,putative cytoplasmic protein,6,391,,5,446,,6,395
STM14_0686,entF,enterobactin synthase subunit F,56,3247,,54,2976,,60,3117
STM14_0687,fepE,ferric enterobactin transport protein FepE,22,1212,,22,1270,,24,1328
STM14_0688,fepC,iron-enterobactin transporter ATP-binding protein,15,1537,,16,1466,,15,1474
STM14_0689,fepG,iron-enterobactin transporter permease,17,729,,20,640,,18,584
STM14_0690,fepD,iron-enterobactin transporter membrane protein,16,1189,,16,1109,,17,1139
STM14_0691,ybdA,enterobactin exporter EntS,29,2361,,29,2315,,30,2264
STM14_0692,fepB,iron-enterobactin transporter periplasmic binding protein,15,1208,,15,1272,,15,1308
STM14_0693,entC,isochorismate synthase,16,910,,15,870,,15,930
STM14_0694,entE,enterobactin synthase subunit E,26,2265,,26,2266,,26,2244
STM14_0695,entB,"2,3-dihydro-2,3-dihydroxybenzoate synthetase",26,1323,,26,1387,,25,1328
STM14_0696,entA,"2,3-dihydroxybenzoate-2,3-dehydrogenase",10,710,,12,711,,12,574
